,Close
0,
1,0.12838503676243684
2,0.26820505308019776
3,0.13857346417383365
4,0.26996162002947505
5,0.49482592692817134
6,0.44898054686880073
7,0.18649756149171193
8,0.41637893557468564
9,0.45840429117776116
10,0.26125847509642464
11,0.33531744013260384
12,0.19785081660016807
13,0.26862893506602725
14,0.49863577821680644
15,0.299953813818824
16,0.21013491654950567
17,0.19749475573207131
18,0.1666429292754602
19,0.2685950245071609
20,0.4585653663323764
21,0.23329074167139718
22,0.764765844199972
23,1.0
24,0.7878046778937745
25,0.6429557256961329
26,0.2560820282854753
27,0.3853779026590625
28,0.16509999884704102
29,0.17061046466282392
30,0.41250804528009105
31,0.2328566865179078
32,0.24452191876793444
33,0.39781968670712875
34,0.2657702749535934
35,0.20947705170749836
36,0.22435361388216896
37,0.2599308767168068
38,0.2055892061334706
39,0.3783923275325931
40,0.37747165585937154
41,0.30917748583047294
42,0.40394054258250606
43,0.22192561786733783
44,0.15077617878189203
45,0.18146862561183125
46,0.25625497213569376
47,0.23117302727019323
48,0.1926523279259556
49,0.2873746920073491
50,0.3506382306284237
51,0.31417081562354393
52,0.37360076556477695
53,0.3700672853309026
54,0.4787387578019718
55,0.44635417408460143
56,0.24575626311066978
57,0.3549601313559408
58,0.3266024265039502
59,0.26146024292167946
60,0.21053845220001532
61,0.17019675584465438
62,0.26808636612416553
63,0.19317285500455417
64,0.3034703387732652
65,0.34931232777674914
66,0.21942980073477397
67,0.27060083406410584
68,0.18135163418374234
69,0.1982051819403215
70,0.3478423050498926
71,0.4851987192660127
72,0.36652024087348173
73,0.3170260846800912
74,0.1893579171320891
75,0.2167983413667447
76,0.3094165552704808
77,0.20694562848812487
78,0.19119756495058893
79,0.1907787695485894
80,0.3174245337467709
81,0.22485888120927766
82,0.24171242896585682
83,0.44951463817094583
84,0.5183513771417062
85,0.29293602366143157
86,0.2548646392221732
87,0.15536258186856672
88,0.16222099239928733
89,0.23951672027926024
90,0.24686005180176973
91,0.23647155209306142
92,0.29002649771069816
93,0.1987511419380698
94,0.14510802886738056
95,0.16456251648900927
96,0.13015516793526066
97,0.0906968416383683
98,0.1745457850192646
99,0.13610647101630624
100,0.10392874170802059
101,0.16259061749093062
102,0.08978634313280663
